CaseID,State,City,Address,Latitude,Longitude,Reported Date, Reported Time (military), Reported Time
88,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,7/26/2017,1:30,1:30 AM
89,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,7/27/2017,1:50,1:50 AM
90,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,7/28/2017,0:57,12:57 AM
91,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,7/31/2017,1:46,1:46 AM
92,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,8/4/2017,2:14,2:14 AM
93,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,8/5/2017,2:11,2:11 AM
94,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,8/6/2017,0:16,12:16 AM
95,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,8/11/2017,2:12,2:12 AM
96,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,8/12/2017,23:41,11:41 PM
97,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,8/14/2017,0:05,12:05 AM
98,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,8/17/2017,2:06,2:06 AM
99,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,8/19/2017,22:38,10:38 PM
100,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,11/26/2017,0:20,12:20 AM
101,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,12/8/2017,3:05,3:05 AM
102,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,12/24/2017,2:00,2:00 AM
103,WA,Burien,14549 4TH AVE SW,47.4726913,-122.3395235,7/16/2017,13:02,1:02 PM
104,WA,Burien,14549 4TH AVE SW,47.4726913,-122.3395235,12/27/2017,15:00,3:00 PM
105,WA,Burien,14603 11TH AVE SW,47.4719407,-122.3488163,8/19/2017,17:00,5:00 PM
106,WA,Burien,14605 1ST AVE S,47.4719717,-122.3343581,3/7/2017,0:17,12:17 AM
107,WA,Burien,14605 1ST AVE S,47.4719717,-122.3343581,3/7/2017,1:53,1:53 AM
108,WA,Burien,14622 9TH AVE SW,47.4715025,-122.3454163,3/10/2017,9:55,9:55 AM
109,WA,Burien,14639 25TH AVE SW,47.4712691,-122.3666467,7/29/2017,22:15,10:15 PM
110,WA,Burien,14656 AMBAUM BLVD SW,47.470777,-122.3463636,9/14/2017,15:12,3:12 PM
111,WA,Burien,14807 1ST AVE S,47.4702094,-122.334372,3/21/2017,0:28,12:28 AM
112,WA,Burien,14807 1ST AVE S,47.4702094,-122.334372,4/26/2017,2:21,2:21 AM
113,WA,Burien,14807 1ST AVE S,47.4702094,-122.334372,7/26/2017,2:43,2:43 AM
114,WA,Burien,14807 1ST AVE S,47.4702094,-122.334372,8/6/2017,17:58,5:58 PM
115,WA,Burien,14821 1ST AVE S,47.4698828,-122.3342561,1/29/2017,5:53,5:53 AM
116,WA,Burien,14821 1ST AVE S,47.4698828,-122.3342561,3/11/2017,17:05,5:05 PM
117,WA,Burien,14821 1ST AVE S,47.4698828,-122.3342561,3/26/2017,10:06,10:06 AM
118,WA,Burien,14821 1ST AVE S,47.4698828,-122.3342561,4/2/2017,4:54,4:54 AM
119,WA,Burien,14821 1ST AVE S,47.4698828,-122.3342561,4/22/2017,2:08,2:08 AM
120,WA,Burien,14821 1ST AVE S,47.4698828,-122.3342561,5/27/2017,9:19,9:19 AM
121,WA,Burien,14821 1ST AVE S,47.4698828,-122.3342561,7/15/2017,14:45,2:45 PM
122,WA,Burien,14821 1ST AVE S,47.4698828,-122.3342561,9/24/2017,9:41,9:41 AM
123,WA,Burien,14821 1ST AVE S,47.4698828,-122.3342561,11/15/2017,6:57,6:57 AM
124,WA,Burien,14830 1ST AVE S,47.4697653,-122.3333938,12/18/2017,1:32,1:32 AM
125,WA,Burien,14848 1ST AVE S,47.4688704,-122.3334507,7/27/2017,11:31,11:31 AM
126,WA,Burien,14893 4TH AVE SW,47.4698455,-122.3391758,2/28/2017,15:46,3:46 PM
127,WA,Burien,14893 4TH AVE SW,47.4698455,-122.3391758,5/19/2017,17:54,5:54 PM
128,WA,Burien,14893 4TH AVE SW,47.4698455,-122.3391758,6/19/2017,13:24,1:24 PM
129,WA,Burien,14893 4TH AVE SW,47.4698455,-122.3391758,9/1/2017,16:10,4:10 PM
130,WA,Burien,149 SW 160TH ST,47.4593956,-122.3360918,3/3/2017,23:00,11:00 PM
131,WA,Burien,149 SW 160TH ST,47.4593956,-122.3360918,5/27/2017,5:08,5:08 AM
132,WA,Burien,149 SW 160TH ST ,47.4593956,-122.3360918,1/21/2017,20:35,8:35 PM
133,WA,Burien,149 SW 160TH ST ,47.4593956,-122.3360918,8/1/2017,0:24,12:24 AM
134,WA,Burien,149 SW 160TH ST ,47.4593956,-122.3360918,4/30/2017,20:39,8:39 PM
135,WA,Burien,149 SW 160TH ST ,47.4593956,-122.3360918,9/19/2017,23:48,11:48 PM
136,WA,Burien,149 SW 160TH ST,47.4593956,-122.3360918,3/2/2017,1:59,1:59 AM
137,WA,Burien,149 SW 160TH ST,47.4593956,-122.3360918,2/22/2017,1:08,1:08 AM
138,WA,Burien,14900 4TH AVE SW,47.4693336,-122.3382961,2/10/2017,1:15,1:15 AM
139,WA,Burien,14900 4TH AVE SW,47.4693336,-122.3382961,4/15/2017,1:05,1:05 AM
140,WA,Burien,14900 4TH AVE SW,47.4693336,-122.3382961,5/18/2017,15:42,3:42 PM
141,WA,Burien,14900 4TH AVE SW,47.4693336,-122.3382961,7/16/2017,16:17,4:17 PM
142,WA,Burien,14900 4TH AVE SW,47.4693336,-122.3382961,12/18/2017,14:02,2:02 PM
143,WA,Burien,14900 8TH AVE SW,47.46902441,-122.3631671,10/14/2017,23:22,11:22 PM
144,WA,Burien,14901 4TH AVE SW,47.4690481,-122.3391425,9/1/2017,15:56,3:56 PM
145,WA,Burien,14903 4TH AVE SW,47.4699067,-122.3408266,7/12/2017,8:55,8:55 AM
146,WA,Burien,14903 4TH AVE SW,47.4699067,-122.3408266,11/22/2017,10:41,10:41 AM
147,WA,Burien,14905 4TH AVE SW,47.4695514,-122.3408584,7/24/2017,22:46,10:46 PM
148,WA,Burien,14905 6TH AVE SW,47.4693348,-122.3421757,7/28/2017,11:15,11:15 AM
149,WA,Burien,14905 6TH AVE SW,47.4693348,-122.3421757,7/31/2017,14:22,2:22 PM
150,WA,Burien,14905 6TH AVE SW,47.4693348,-122.3421757,10/25/2017,14:27,2:27 PM
151,WA,Burien,14905 6TH AVE SW,47.4693348,-122.3421757,12/1/2017,23:02,11:02 PM
152,WA,Burien,14933 22ND AVE SW,47.4685028,-122.3625397,2/4/2017,16:17,4:17 PM
153,WA,Burien,150 SW 156TH ST,47.4634699,-122.3361292,4/2/2017,4:45,4:45 AM
154,WA,Burien,150 SW 156TH ST,47.4634699,-122.3361292,6/20/2017,5:30,5:30 AM
155,WA,Burien,150 SW 156TH ST ,47.4634699,-122.3361292,5/6/2017,19:49,7:49 PM
156,WA,Burien,150 SW 160TH ST,47.4599927,-122.3361729,1/28/2017,0:27,12:27 AM
157,WA,Burien,150 SW 160TH ST,47.4599927,-122.3361729,2/9/2017,9:31,9:31 AM
158,WA,Burien,150 SW 160TH ST,47.4599927,-122.3361729,11/25/2017,7:34,7:34 AM
159,WA,Burien,15003 14TH AVE SW,47.4681904,-122.3529443,7/6/2017,14:08,2:08 PM
160,WA,Burien,15006 AMBAUM BLVD SW,47.4682544,-122.3454162,3/1/2017,12:24,12:24 PM
161,WA,Burien,15009 28TH AVE SW,47.46869,-122.3693622,6/26/2017,12:28,12:28 PM
162,WA,Burien,15020 5TH AVE SW,47.4683937,-122.3401428,7/20/2017,16:53,4:53 PM
163,WA,Burien,15027 AMBAUM BLVD SW,47.4678066,-122.3459256,11/23/2017,1:35,1:35 AM
164,WA,Burien,15045 5TH AVE SW,47.4681311,-122.340682,9/2/2017,22:40,10:40 PM
165,WA,Burien,15045 5TH AVE SW,47.4681311,-122.340682,9/28/2017,21:46,9:46 PM
166,WA,Burien,15045 5TH AVE SW,47.4681311,-122.340682,10/19/2017,0:15,12:15 AM
167,WA,Burien,15059 1ST AVE S,47.4671718,-122.3342285,7/21/2017,15:49,3:49 PM
168,WA,Burien,15100 6TH AVE SW,47.4671438,-122.3411752,8/27/2017,13:46,1:46 PM
169,WA,Burien,15100 6TH AVE SW,47.4671438,-122.3411752,10/19/2017,1:29,1:29 AM
170,WA,Burien,15101 AMBAUM BLVD SW,47.4674075,-122.3457327,1/14/2017,2:20,2:20 AM
171,WA,Burien,15200 2ND AVE SW,47.46902441,-122.3631671,6/12/2017,16:13,4:13 PM
172,WA,Burien,15212 20TH AVE SW,47.4663175,-122.3588691,5/27/2017,22:13,10:13 PM
173,WA,Burien,15212 6TH AVE SW,47.4664814,-122.3416372,1/26/2017,1:14,1:14 AM
174,WA,Burien,15215 AMBAUM BLVD SW,47.466266,-122.3451437,11/17/2017,21:49,9:49 PM
175,WA,Burien,15222 10TH AVE SW,47.4658921,-122.3468962,12/6/2017,14:49,2:49 PM
176,WA,Burien,15236 20TH AVE SW,47.4656385,-122.3588159,6/1/2017,22:50,10:50 PM
177,WA,Burien,15236 20TH AVE SW,47.4656385,-122.3588159,7/13/2017,0:53,12:53 AM
178,WA,Burien,15245 10TH AVE SW,47.465597,-122.3475364,5/24/2017,21:50,9:50 PM
179,WA,Burien,15250 10TH AVE SW ,47.4652532,-122.3468113,3/19/2017,3:12,3:12 AM
180,WA,Burien,153 SW 154TH ST,47.4649533,-122.3363037,7/13/2017,15:40,3:40 PM
181,WA,Burien,15304 1ST AVE S,47.4658017,-122.3334167,5/28/2017,2:30,2:30 AM
182,WA,Burien,15304 1ST AVE S,47.4658017,-122.3334167,5/30/2017,15:45,3:45 PM
183,WA,Burien,15304 1ST AVE S,47.4658017,-122.3334167,7/19/2017,17:13,5:13 PM
184,WA,Burien,15304 1ST AVE S,47.4658017,-122.3334167,7/24/2017,15:20,3:20 PM
185,WA,Burien,15304 1ST AVE S,47.4658017,-122.3334167,9/2/2017,0:00,12:00 AM
186,WA,Burien,15320 AMBAUM BLVD SW,47.4652738,-122.3437395,7/5/2017,12:06,12:06 PM
187,WA,Burien,15321 1ST AVE S,47.4654413,-122.334269,10/6/2017,0:33,12:33 AM
188,WA,Burien,15324 1ST AVE S,47.4653112,-122.3334307,1/9/2017,14:24,2:24 PM
189,WA,Burien,15404 10TH AVE SW ,47.4647678,-122.3468146,4/7/2017,23:07,11:07 PM
190,WA,Burien,15410 10TH AVE SW ,47.464521,-122.3468148,9/26/2017,14:28,2:28 PM
191,WA,Burien,15420 9TH AVE SW ,47.4643004,-122.3455707,11/25/2017,1:59,1:59 AM
192,WA,Burien,15444 10TH AVE SW,47.4636593,-122.3468126,1/17/2017,23:27,11:27 PM
193,WA,Burien,15500 1ST AVE S,47.4637919,-122.333204,8/6/2017,9:14,9:14 AM
194,WA,Burien,15502 4TH AVE SW,47.4639707,-122.3389129,7/9/2017,21:45,9:45 PM
195,WA,Burien,15502 4TH AVE SW ,47.4639707,-122.3389129,8/15/2017,20:41,8:41 PM
196,WA,Burien,15502 4TH AVE SW ,47.4639707,-122.3389129,7/26/2017,19:29,7:29 PM
197,WA,Burien,15502 4TH AVE SW ,47.4639707,-122.3389129,7/10/2017,23:14,11:14 PM
198,WA,Burien,15510 6TH AVE SW ,47.4638884,-122.3415619,6/11/2017,23:08,11:08 PM
199,WA,Burien,15619 4TH AVE SW ,47.4625317,-122.3395572,7/5/2017,8:52,8:52 AM
200,WA,Burien,15620 1ST AVE S,47.4626476,-122.3333926,1/1/2017,5:21,5:21 AM
201,WA,Burien,15620 1ST AVE S,47.4626476,-122.3333926,3/12/2017,3:18,3:18 AM
202,WA,Burien,15620 1ST AVE S,47.4626476,-122.3333926,7/30/2017,22:52,10:52 PM
203,WA,Burien,15620 1ST AVE S,47.4626476,-122.3333926,8/27/2017,10:17,10:17 AM
204,WA,Burien,15627 8TH AVE SW,47.4624716,-122.3448934,7/12/2017,22:40,10:40 PM
205,WA,Burien,15627 8TH AVE SW,47.4624716,-122.3448934,7/13/2017,0:13,12:13 AM
206,WA,Burien,15650 9TH AVE SW,47.4618014,-122.3455393,8/12/2017,9:22,9:22 AM
207,WA,Burien,15655 19TH AVE SW,47.4615137,-122.3582327,1/7/2017,19:37,7:37 PM
208,WA,Burien,15700 14TH PL SW,47.4629015,-122.3535898,8/26/2017,21:38,9:38 PM
209,WA,Burien,15700 1ST AVE S,47.4622452,-122.3334079,12/29/2017,11:29,11:29 AM
210,WA,Burien,15702 1ST AVE S,47.4622438,-122.332747,3/6/2017,15:18,3:18 PM
211,WA,Burien,15721 4TH AVE SW,47.4617878,-122.339536,10/18/2017,23:50,11:50 PM
212,WA,Burien,15724 1ST AVE S,47.461629,-122.3324882,10/1/2017,10:21,10:21 AM
213,WA,Burien,15730 1ST AVE S,47.4616168,-122.3335899,11/3/2017,1:22,1:22 AM
214,WA,Burien,15733 AMBAUM BLVD SW,47.4616114,-122.337121,3/19/2017,14:38,2:38 PM
215,WA,Burien,15733 AMBAUM BLVD SW,47.4616114,-122.337121,4/8/2017,0:50,12:50 AM
216,WA,Burien,15733 AMBAUM BLVD SW,47.4616114,-122.337121,4/26/2017,1:12,1:12 AM
217,WA,Burien,15739 AMBAUM BLVD SW,47.461462,-122.3362241,1/15/2017,1:38,1:38 AM
218,WA,Burien,15739 AMBAUM BLVD SW,47.461462,-122.3362241,3/4/2017,1:00,1:00 AM
219,WA,Burien,15747 AMBAUM BLVD SW,47.4613305,-122.3364971,1/8/2017,0:59,12:59 AM
220,WA,Burien,15747 AMBAUM BLVD SW,47.4613305,-122.3364971,5/28/2017,1:30,1:30 AM
221,WA,Burien,15747 AMBAUM BLVD SW,47.4613305,-122.3364971,11/5/2017,1:49,1:49 AM
222,WA,Burien,15747 AMBAUM BLVD SW,47.4613305,-122.3364971,11/16/2017,0:29,12:29 AM
223,WA,Burien,158 SW 148TH ST,47.4708317,-122.3369904,5/17/2017,14:20,2:20 PM
224,WA,Burien,158 SW 148TH ST,47.4708317,-122.3369904,11/21/2017,14:41,2:41 PM
225,WA,Burien,15801 AMBAUM BLVD SW,47.4608174,-122.337512,2/1/2017,14:34,2:34 PM
226,WA,Burien,15811 AMBAUM BLVD SW,47.4608863,-122.3362636,10/11/2017,12:31,12:31 PM
227,WA,Burien,15815 1ST AVE S,47.4612041,-122.3344354,5/22/2017,10:18,10:18 AM
228,WA,Burien,15815 1ST AVE S ,47.4612041,-122.3344354,10/21/2017,10:07,10:07 AM
229,WA,Burien,15818 16TH AVE SW,47.4607166,-122.3549702,8/26/2017,10:19,10:19 AM
230,WA,Burien,15824 1ST AVE S,47.4609472,-122.3334896,1/27/2017,22:10,10:10 PM
231,WA,Burien,15824 1ST AVE S,47.4609472,-122.3334896,2/23/2017,5:28,5:28 AM
232,WA,Burien,15824 1ST AVE S,47.4609472,-122.3334896,10/23/2017,7:29,7:29 AM
233,WA,Burien,15824 1ST AVE S,47.4609472,-122.3334896,11/26/2017,12:30,12:30 PM
234,WA,Burien,15828 7TH AVE SW,47.4605187,-122.3428971,11/28/2017,19:11,7:11 PM
235,WA,Burien,15828 7TH AVE SW,47.4605187,-122.3428971,12/28/2017,18:21,6:21 PM
236,WA,Burien,15858 1ST AVE S,47.4604467,-122.3315247,2/28/2017,19:21,7:21 PM
237,WA,Burien,15868 1ST AVE S,47.4601448,-122.3313525,9/18/2017,20:53,8:53 PM
238,WA,Burien,15910 3RD PL SW,47.4607766,-122.3380863,1/26/2017,17:19,5:19 PM
239,WA,Burien,16031 15TH AVE SW,47.4585204,-122.3541437,9/17/2017,3:01,3:01 AM
240,WA,Burien,16034 14TH AVE SW,47.4584997,-122.3522015,6/25/2017,2:52,2:52 AM
241,WA,Burien,16045 1ST AVE S,47.4585918,-122.3349537,9/8/2017,12:08,12:08 PM
242,WA,Burien,16048 19TH AVE SW,47.4581284,-122.357514,9/8/2017,20:48,8:48 PM
243,WA,Burien,16201 16TH AVE SW,47.458136,-122.3559558,8/15/2017,22:40,10:40 PM
244,WA,Burien,16202 11TH AVE SW,47.4577835,-122.3482589,4/3/2017,2:17,2:17 AM
245,WA,Burien,16222 SYLVESTER RD SW,47.456691,-122.3399653,7/26/2017,21:51,9:51 PM
246,WA,Burien,16251 SYLVESTER RD SW,47.4574757,-122.3431115,2/18/2017,17:39,5:39 PM
247,WA,Burien,16251 SYLVESTER RD SW,47.4574757,-122.3431115,3/15/2017,8:43,8:43 AM
248,WA,Burien,16251 SYLVESTER RD SW,47.4574757,-122.3431115,3/19/2017,6:03,6:03 AM
249,WA,Burien,16251 SYLVESTER RD SW,47.4574757,-122.3431115,6/3/2017,6:57,6:57 AM
250,WA,Burien,16251 SYLVESTER RD SW,47.4574757,-122.3431115,6/30/2017,11:21,11:21 AM
251,WA,Burien,16251 SYLVESTER RD SW,47.4574757,-122.3431115,7/8/2017,9:44,9:44 AM
252,WA,Burien,16251 SYLVESTER RD SW,47.4574757,-122.3431115,7/12/2017,0:32,12:32 AM
253,WA,Burien,16251 SYLVESTER RD SW,47.4574757,-122.3431115,8/8/2017,14:55,2:55 PM
254,WA,Burien,16257 11TH AVE SW,47.4563186,-122.3488848,10/27/2017,11:37,11:37 AM
255,WA,Burien,16257 11TH AVE SW,47.4563186,-122.3488848,11/26/2017,10:20,10:20 AM
256,WA,Burien,16409 8TH AVE SW,47.4557228,-122.3450523,4/30/2017,12:50,12:50 PM
257,WA,Burien,16424 19TH AVE SW,47.4551868,-122.3575179,4/8/2017,19:36,7:36 PM
258,WA,Burien,16424 19TH AVE SW,47.4551868,-122.3575179,4/8/2017,17:57,5:57 PM
259,WA,Burien,16456 12TH AVE SW,47.4543725,-122.349594,5/31/2017,20:49,8:49 PM
260,WA,Burien,1919 SW 156TH ST,47.4629429,-122.3587258,5/22/2017,17:55,5:55 PM
262,WA,Burien,207 SW 150TH ST,47.4678904,-122.3369094,11/1/2017,23:38,11:38 PM
263,WA,Burien,209 SW 155TH ST ,47.4639886,-122.3370239,7/8/2017,17:18,5:18 PM
264,WA,Burien,2116 SW 152ND ST,47.466952,-122.36162,1/17/2017,12:49,12:49 PM
265,WA,Burien,221 SW 154TH ST ,47.4648145,-122.3375073,2/25/2017,22:15,10:15 PM
266,WA,Burien,221 SW 154TH ST ,47.4648145,-122.3375073,2/25/2017,22:00,10:00 PM
